搜索关键词,监测品牌,搜索排名,笔记ID,笔记类型,笔记标题,笔记描述,笔记URL,作者ID,作者昵称,笔记最后更新时间,点赞数,收藏数,评论数,分享数,品牌情感倾向,品牌高频词,数据采集时间
缕灵,Living Proof,12,67a8a6c5000000002901b794,normal,200多的livingproof,"静安消费券交作业了
临期产品打六折，正好需要洗发水！在打折货架的角落发现这最后一瓶。转了半个小时，终于搞定了[笑哭R]
	
#livingproof[话题]# #livingproof洗发水[话题]# #静安消费券[话题]#  #静安消费券作业[话题]# #丝芙兰[话题]#",https://www.xiaohongshu.com/explore/67a8a6c5000000002901b794?xsec_token=ABP6sBLMooGAF4DvcH45JN5m85H11NT_bq9B8-ZM8c1aE=&xsec_source=pc_search,55658085f5a26326be23e17b,Jade_JJJ,2025-02-09T20:59:49+00:00,3.0,0.0,1.0,2.0,正向,"需要, 搞定",2025-05-30T00:22:23.59066+00:00
缕灵,Living Proof,13,67c5a890000000000d017efa,normal,产后三个月漂发护理产品实测,"威娜夜间精华乳：自己使用下来并没有感觉发丝很顺滑，但是对修复断发挺不错的，漂完断发情况减少很多
缕灵免洗护发乳：一般 无功无过
k18免洗发膜：传闻对漂发可以起到深度修复，其核心成分是k18肽，是一种仿生肽，能够深入修复头发角蛋白结构，可能需要长期使用，目前使用两次，效果还没有特别明显
epres修复液：会回购的产品。浓浓的精华包裹头发过夜，心理层面起到了很好的安慰作用
philipb头皮预洗精华：听到精华就走不动道，虽然洗头步骤会麻烦了点，但我的产后脱发没有很严重，不知道和这个有没有关系
olaplex4号5号:漂发必入，已经是家里囤货了#护发养发[话题]# #头皮精华[话题]# #护发心得分享[话题]# #干枯毛躁好物[话题]# #护发如护肤[话题]# #洗护[话题]# #护发好物[话题]# #护发养发头发护理[话题]# #自己在家漂发[话题]#",https://www.xiaohongshu.com/explore/67c5a890000000000d017efa?xsec_token=ABEPYSviA9itOCtC4wclvr0nBNDLM_zf5UhY0lArfxcPY=&xsec_source=pc_search,61e03b0a0000000021020fec,玉米粒,2025-03-03T21:04:07+00:00,203.0,59.0,13.0,4.0,中立,"一般, 无功无过",2025-06-07T20:18:36.762238+00:00
缕灵,Living Proof,14,682402ec0000000022025469,normal,35💰了❗️去油蓬松是真的很绝❗️,"用过的都爱吧～
源价是真贵，清仓还不错
数量不多，去冲去冲～
#清仓特价[话题]# #洗发水测评[话题]# #控油蓬松[话题]# #洗发水红榜[话题]# #蓬松洗发水[话题]# #控油洗发水[话题]# #干发喷雾[话题]# #livingproof[话题]# #缕灵[话题]# #临期美妆[话题]# #护发养发[话题]# #回购清单[话题]#",https://www.xiaohongshu.com/explore/682402ec0000000022025469?xsec_token=ABt0A-ZxoXzbj07el-1f8LQGk5dCqW7OCae66kEh0O3Zw=&xsec_source=pc_search,60f39e750000000001004f6e,每天想退休,2025-06-03T16:25:33+00:00,2.0,1.0,0.0,1.0,正向,"去油蓬松, 真的很绝, 用过的都爱",2025-05-30T00:22:23.59066+00:00
缕灵,Living Proof,15,683329c800000000210004b8,normal,大油头直接冲它就完事了！！,"大油头表示很贼爱living proof
空瓶很多个了！
再油的头也能稳稳控油！清清爽爽～
	
挤出来是比较浓稠的啫喱
湿手就能搓出超免密丰富的泡沫
发丝根根分明 摸起来软软的
从视觉效果上头发层变厚！
香味是清新的花果香调
夏天就需要这种淡雅的香型～
而且坚持用 发丝会变厚变强韧！
除了小贵没毛病～
但现在直接打到3折！现在不冲更待何时[害羞R]
	
#油头救星[话题]# #防脱控油洗发水[话题]# #控油蓬松[话题]# #油头洗发水[话题]# #洗发水控油蓬松[话题]# #livingproof洗发水[话题]# #缕灵丰盈蓬松洗发水[话题]# #Livingproof缕灵[话题]# #缕灵洗发水[话题]# #洗发水[话题]#",https://www.xiaohongshu.com/explore/683329c800000000210004b8?xsec_token=ABy2dVmpkkcFW_na3CHReDCewGRruOtm0l6LrfSzZEuYI=&xsec_source=pc_search,62790ce6000000001501745f,bellaaaa,2025-05-25T22:31:36+00:00,1.0,1.0,3.0,0.0,正向,"贼爱, 控油, 清清爽爽, 香味清新, 淡雅, 发丝变厚变强韧",2025-06-07T20:52:35.022939+00:00
缕灵,Living Proof,16,680100e2000000001c000a00,video,油扁塌集合❗平常400+的洗发水清了❗,"livingproof洗发水大清仓！
正品清仓❗正品清仓❗
油扁塌真的不能错过它[购物车R]
缕灵家控油蓬松真的不是说说而已
还有大瓶囤货装省更多❗
洗发水消耗品就是要囤多点～
#洗发水控油蓬松[话题]# #进口洗发水[话题]# #livingproof洗发水[话题]# #洗发水清仓捡漏[话题]# #缕灵丰盈蓬松洗发水[话题]# #livingproof缕灵[话题]# #哪种洗发水好用[话题]# #油头洗发水[话题]# #控油蓬松[话题]# #洗发水推荐排行榜[话题]#",https://www.xiaohongshu.com/explore/680100e2000000001c000a00?xsec_token=AB2IUUfJmaGm-B1BWvbGMi0GT4WLWDpR6fHlJNCn-K9cg=&xsec_source=pc_search,62790ce6000000001501745f,bellaaaa,2025-04-17T21:23:47+00:00,2.0,1.0,1.0,1.0,正向,"控油蓬松, 正品, 清仓",2025-06-07T20:18:36.762238+00:00
缕灵,Living Proof,17,6801f73d000000001c0036cd,normal,缕灵老粉在哪❓ 洗发水、干发喷雾清仓了❗️,"源价贵啊
清仓就太香了
这价格不买就是亏
冲它[买爆R][买爆R][买爆R]
	
干发喷雾小瓶大瓶，原价100～200呢
清才30几～80几💰，古德古德歪瑞古德
洗发水好价118💰适合所有发质，尤其是细软塌的！！
48小时控油+蓬松，能保持头皮清爽，头发不会打缕
	
#清仓特价[话题]##控油蓬松[话题]# #干发喷雾[话题]# #头发蓬松[话题]# #去油蓬松[话题]# #缕灵[话题]# #livingproof[话题]# #蓬松洗发水[话题]# #细软塌[话题]# #控油洗发水[话题]# #油头洗发水[话题]# #免洗喷雾[话题]# #临期产品[话题]#",https://www.xiaohongshu.com/explore/6801f73d000000001c0036cd?xsec_token=AB2IUUfJmaGm-B1BWvbGMi0C9mFz_DZwAI5Kyh_siVD2Q=&xsec_source=pc_search,55719c0b484fb66432ed12b3,正正正品搬运工,2025-05-19T14:40:13+00:00,2.0,0.0,0.0,1.0,正向,"控油, 蓬松, 适合所有发质",2025-05-30T00:22:23.59066+00:00
缕灵,Living Proof,18,6837ec07000000000303a2fd,normal,618手慢无！我发誓这个💰真的香！,"真的是爆品‼️
销量巨高的缕灵丰盈蓬松洗发水
原价255，现在正装只到零头！
全网夸爆的进口黑科技控油
洗发更养发！
点开记得领🧧哦
还有710ml家庭装 买多省多
我要告诉全世界🔥
#洗护好物[话题]# #洗发水推荐[话题]# #livingproof洗发水[话题]# #清仓捡漏[话题]# #618攻略[话题]# #缕灵丰盈蓬松洗发水[话题]# #Livingproof缕灵洗发水[话题]# #洗发水去屑止痒控油蓬松[话题]# #油头洗发水[话题]#",https://www.xiaohongshu.com/explore/6837ec07000000000303a2fd?xsec_token=AB9UKqqLPYkvnP8AbAvg0sm0E4DXj9g2v8M-hWmXB2AOw=&xsec_source=pc_search,62e8b5ab000000001501ae8e,小甜蜜丸子,2025-05-29T13:09:27+00:00,1.0,0.0,1.0,0.0,正向,"爆品, 销量巨高, 进口黑科技, 控油, 洗发更养发",2025-06-07T20:52:35.022939+00:00
缕灵,Living Proof,19,682ed848000000002200766b,normal,这个夏天不允许再油扁塌了！！,"都给我支棱起来！
亲测用了一周
泡沫超绵密的，强力清洁力！
去油效果非常👍
但洗完不会有氨基酸洗发水干涩的通病
甚至不用护发素都不会毛躁打结
有种头皮都在呼吸，贼清爽的感觉
	
原本有点小贵，货值和毫升数都是200+
但现在清仓啦！
这个💰预算不高的姐妹也能🐛！
	
#Livingproof缕灵丰盈洗发水[话题]# #洗发水控油蓬松[话题]##洗发水去屑止痒控油蓬松[话题]##livingproof洗发水[话题]##蓬松洗发水[话题]##好物推荐[话题]##控油洗发水[话题]# #洗发水控油蓬松[话题]# #油头救星[话题]#",https://www.xiaohongshu.com/explore/682ed848000000002200766b?xsec_token=ABG30OPiP0GB2HgEzamJQZtNRsXDQTh1VX4u3ow5SXmQU=&xsec_source=pc_search,62790ce6000000001501745f,bellaaaa,2025-05-22T15:54:49+00:00,3.0,0.0,1.0,0.0,正向,"强力清洁力, 去油效果非常👍, 不会干涩, 不会毛躁打结, 贼清爽",2025-06-07T20:52:35.022939+00:00
缕灵,Living Proof,20,67945f6c000000002602c423,normal,全网最好用的洗发水,"现在网上铺天盖地全是广告，我也踩过无数次坑
！！！说假话头皮长痘！！！
这两个是真的我用过真的很好用的（本人细软塌油头）
- 👍三生花空气瓶
这款是性价比真的很高，几十块能做到控油力蓬松感满满！！
非常温和，洗感很舒适，不干涩
大油头坚持三天没问题
视觉上发量翻倍
味道是很清新高级的的木质柑橘味
👍Living proof
丰盈蓬松的感觉 头皮贼清爽
去油十分显著
颅顶支棱起来的感觉
香味淡淡的没有空气瓶好闻
有点小贵，200块200ml，预算高的🐛
#三生花[话题]# #livingproof[话题]# #控油洗发水[话题]# #控油蓬松洗发水[话题]# #洗发水推荐[话题]# #细软塌发质[话题]# #油头救星[话题]# #livingproof缕灵[话题]# #百雀羚[话题]# #护发养发[话题]# #小众洗护[话题]#",https://www.xiaohongshu.com/explore/67945f6c000000002602c423?xsec_token=ABiAhJJaiRMNLRbr5XBD4Y-e4xDwF614ENd9ZotIZMKqE=&xsec_source=pc_search,6485999c0000000012036dd1,芽芽鸭,2025-01-25T11:52:34+00:00,14.0,5.0,0.0,0.0,正向,"丰盈蓬松, 头皮清爽, 去油显著, 香味淡淡",2025-05-30T00:22:23.59066+00:00
缕灵,Living Proof,21,6815aeaf0000000009015918,video,不能再低了‼️这羊毛薅到就是赚到！,"livingproof缕灵
黑科技控油蓬松洗发水
清仓[购物车R]2折！！
#livingproof洗发水[话题]# #缕灵洗发水[话题]# #缕灵丰盈蓬松洗发水[话题]# #Livingproof缕灵[话题]# #洗发水清仓捡漏[话题]# #洗发水控油蓬松[话题]# #油头洗发水[话题]# #LivingProof每日圆满洗发水[话题]#",https://www.xiaohongshu.com/explore/6815aeaf0000000009015918?xsec_token=ABFW4dZ3rhb0av37bSo2ajrxL4aTjQhi4F_soB-dERTRE=&xsec_source=pc_search,62e8b5ab000000001501ae8e,小甜蜜丸子,2025-05-03T13:50:39+00:00,2.0,1.0,2.0,1.0,正向,"清仓, 2折",2025-06-07T20:18:36.762238+00:00
缕灵,Living Proof,25,683fb4c400000000210189ed,normal,惊天巨折！🐮到爆的控油洗发水！,"对油头来说爆好用舒服的洗发水！
油头？扁塌？秃瓢感？
给姐支棱起来！！
livingproof洗发水是懂氛围感作弊的！!
早上洗头下午就油的姐妹！救命稻草在这!!
-
缕灵自有实验室自主研发，通过了16项测试！专业搞黑科技的就是硬核！成分狠到直击油扁塌痛点！
⬇️
MIT专研的蓬蓬肽，48小时蓬松！
蠕虫叉红藻提取物，隔离外界油垢湿气！
肽填充科技，增粗发丝！
尾穗苋籽提取物，增加头顶发丝支撑力！
-
配方更是狠人！🈚硅油🈚硫酸盐🈚防腐剂！
用植物角鲨烷代替硅油！复合氨基酸去油不干涩！
洗感爽炸天！
前调是清新果香🍊
中调是治愈花香🌸
后调是木质香🌿
洗完的头皮！像！能！呼！吸！
三天后发丝一撩，还有若隐若现的冷香！
-
这个机制错过真的没有！
仅此一批！最后的捡漏！！
	
#洗发水控油蓬松[话题]# #油头洗发水[话题]# #livingproof洗发水[话题]# #缕灵丰盈蓬松洗发水[话题]# #Livingproof缕灵[话题]# #洗发水红榜[话题]# #洗发水推荐[话题]# #洗发水留香持久好闻[话题]# #进口洗发水[话题]#",https://www.xiaohongshu.com/explore/683fb4c400000000210189ed?xsec_token=ABdDHYuZj-8q1VZhJsVa3GBJoZqkoldpNbANumnNyy9rQ=&xsec_source=pc_search,62790ce6000000001501745f,bellaaaa,2025-06-04T10:51:49+00:00,0.0,0.0,1.0,0.0,正向,"自主研发, 通过了16项测试, 专业搞黑科技, 直击油扁塌痛点, 蓬蓬肽, 隔离外界油垢湿气, 增粗发丝, 增加头顶发丝支撑力, 狠人配方, 无硅油, 无硫酸盐, 无防腐剂, 植物角鲨烷, 复合氨基酸, 不干涩",2025-06-07T20:52:35.022939+00:00
缕灵,Living Proof,26,68119c0b000000000900e28b,video,细软塌都去用！！我真的爱si缕灵了😍！！,"2折！2折！79！！
清仓捡漏💰！
#看得见的肽蓬松力[话题]# #细软塌的秘诀[话题]# #livingproof洗发水[话题]# #缕灵丰盈蓬松洗发水[话题]# #洗发水控油蓬松[话题]# #细软塌洗发水推荐[话题]# #油头洗发水[话题]#  #头发蓬松[话题]# #Livingproof缕灵[话题]# #Livingproof[话题]#",https://www.xiaohongshu.com/explore/68119c0b000000000900e28b?xsec_token=ABq7UwY9lA24-riZFhRPY_LVgj9TXQLof7wWgHCd2NbGA=&xsec_source=pc_search,62e8b5ab000000001501ae8e,小甜蜜丸子,2025-04-30T11:42:04+00:00,1.0,0.0,1.0,1.0,正向,"爱, 无限回购, 神",2025-06-07T20:18:36.762238+00:00
缕灵,Living Proof,27,683ecf0e000000000303f970,video,不愧是麻省理工的高颅顶神器。。,"两款都非常非常蓬松！
一款适合油头
一款适合中/干性发质
	
都是那种去油不去水的控油蓬松
发丝依旧保持水润
但头顶平底起高楼！
	
#livingproof洗发水[话题]#  #缕灵丰盈蓬松洗发水[话题]# #缕灵每日圆满洗发水[话题]# #洗发水控油蓬松[话题]# #细软塌[话题]# #Livingproof缕灵[话题]# #洗发水红榜[话题]# #控油洗发水[话题]# #高颅顶洗发水[话题]#",https://www.xiaohongshu.com/explore/683ecf0e000000000303f970?xsec_token=ABOqa5WyXt2R6q6wtXU4oQ4gG2XU-wjll6pNRhG91lJUY=&xsec_source=pc_search,62e8b5ab000000001501ae8e,小甜蜜丸子,2025-06-03T18:31:43+00:00,0.0,0.0,1.0,0.0,正向,"蓬松, 控油, 水润, 高颅顶",2025-06-07T20:18:36.762238+00:00
缕灵,Living Proof,28,6672d262000000000d00e9ad,normal,缕灵是如何出名的啊？,"虽然表活的确温和，但起泡能力也太差了吧。我一天一洗的头发，一次至少要用10毫升。如果我没记错的话，还是油头群体偏爱这个品牌。大家都不吐槽这点吗？幸亏我只买了个小样。
#缕灵[话题]# #油头洗发水[话题]#",https://www.xiaohongshu.com/explore/6672d262000000000d00e9ad?xsec_token=AB43GceJehaDUQxYEk6_7KGVZ8Bju5Rf92FWGPfDOKZ-U=&xsec_source=pc_search,5beffadcf80b3000016c8a05,Ariel,2024-06-19T20:43:14+00:00,2.0,1.0,10.0,0.0,负向,"起泡能力差, 用量大",2025-05-30T00:22:23.59066+00:00
