搜索关键词,监测品牌,搜索排名,笔记ID,笔记类型,笔记标题,笔记描述,笔记URL,作者ID,作者昵称,笔记最后更新时间,点赞数,收藏数,评论数,分享数,品牌情感倾向,品牌高频词,数据采集时间
livingproof,Living Proof,11,680467b4000000001b026719,normal,"沙发救星,是边上的那瓶living proof 5合1","Living Proof这个H&P系列，针对的是受损干枯发质，
洗发水和护法素用完，只能说维持住了水准，不如日婆的那套惊喜。
但是最小的这瓶5 in 1,在头发半干的时候，针对发量，（不过据我所知，沙发的姐妹一般都是头发又多又厚选手，哈哈哈哈哈哈哈）挤加币5分—25分 大小在手心。搓开后，先擦发根，（虽然说明里说先用发根），但是就我的经验，特别是染烫损伤发质，先用发根完全没有问题。
最后少量抓一下发根。用多了会发粘。
再拿吹风机吹干，或者自然干。（我自己的体会是自然干比吹风机吹干效果好）。
#自然卷沙发救星[话题]# #护发[话题]# #头发干枯毛燥受损[话题]# #让头发变柔顺的方法[话题]# #头发毛躁[话题]# #头发干枯干涩[话题]# #柔顺[话题]# #如何让头发柔顺有光泽[话题]# #沙发救星🌟轻松抚平毛躁[话题]#",https://www.xiaohongshu.com/explore/680467b4000000001b026719?xsec_token=ABTkGfJ05Yc0IjnqrUGqiAEFv2bIxE3rQOnq28wNL2vA0=&xsec_source=pc_search,5a394e7f4eacab7b5ed31175,滚滚,2025-04-20T11:19:16+00:00,0.0,1.0,0.0,1.0,正向,"维持水准, 效果好",2025-06-07T20:43:39.601977+00:00
livingproof,Living Proof,12,683329c800000000210004b8,normal,大油头直接冲它就完事了！！,"大油头表示很贼爱living proof
空瓶很多个了！
再油的头也能稳稳控油！清清爽爽～
	
挤出来是比较浓稠的啫喱
湿手就能搓出超免密丰富的泡沫
发丝根根分明 摸起来软软的
从视觉效果上头发层变厚！
香味是清新的花果香调
夏天就需要这种淡雅的香型～
而且坚持用 发丝会变厚变强韧！
除了小贵没毛病～
但现在直接打到3折！现在不冲更待何时[害羞R]
	
#油头救星[话题]# #防脱控油洗发水[话题]# #控油蓬松[话题]# #油头洗发水[话题]# #洗发水控油蓬松[话题]# #livingproof洗发水[话题]# #缕灵丰盈蓬松洗发水[话题]# #Livingproof缕灵[话题]# #缕灵洗发水[话题]# #洗发水[话题]#",https://www.xiaohongshu.com/explore/683329c800000000210004b8?xsec_token=ABy2dVmpkkcFW_na3CHReDCewGRruOtm0l6LrfSzZEuYI=&xsec_source=pc_search,62790ce6000000001501745f,bellaaaa,2025-05-25T22:31:36+00:00,1.0,1.0,3.0,0.0,正向,"贼爱, 控油, 清清爽爽, 香味清新, 淡雅, 发丝变厚变强韧",2025-06-07T20:43:39.601977+00:00
livingproof,Living Proof,13,682c3eb90000000020028492,normal,油头扁塌救星,"关于油头软塌我有发言权
先说一下我自己的头发情况，也欢迎大家一起讨论分享❤️
我是个油头，本身的头发有些偏硬，发质整体并不干枯，按理发师的话说我的头发整体发质是比较好的，但发根偏油基本上洗完头隔一天必然会油，发根油的话，会导致头发扁塌贴头皮，我本身一直追求蓬松，头发蓬松会显得脸相对来说会小一点，整体的氛围感更好，市面上大部分有点名气的蓬松洗发水几乎我都尝试过，目前近期手上在用的就是这几瓶洗发水，已经使用过一段时间来做分享。
近期在我心中排行第一的综合水平最高的是图二最左侧胖东来的这瓶洗发水。🌟🌟🌟🌟🌟
这个洗发水洗下来头发并不会特别干，但是蓬松度是有的，并且他的起泡很容易，性价比相对来说也是比较高的，我是被我妈妈安利的，所以大家有机会能买到这瓶洗发水的话，我觉得可以试一试，味道也并不难闻，而且挤不用太多，他就可以很容易起泡
就蓬松度比较好的方面来说，我第二推荐的是living proof，🌟🌟🌟🌟，之前我买的是正常量的，后来换成了大容量，由此可见，我对他的蓬松度是比较满意的，但是他洗完的头发会比较干会容易打结，所以这个时候一定要配合发膜去使用。
来说说老网红Christophe robin，🌟🌟🌟
这个品牌我很早之前就使用过，当时他们家的头皮磨砂膏很有名，我也是用了磨砂膏之后发现蓬松度真的很好，但是也是这样一个问题，洗完之后头发会很干，并且它起泡是需要你自己慢慢揉搓的，所以并不方便。后来我就买了同品牌的洗发水，但洗发水的蓬松度没有那么高，而且也是会有干涩的问题，所以近期我就懒得再用了。
国货品牌这几年势头都比较猛，我入手了若也roye，这个洗发水刚买回来的时候觉得还是有用的，头发来说是有一些蓬松的，但是后来洗着洗着我发现他蓬松保持得很短，然后整体的容量也不是很多，所以性价比相对来说并不高。
revitalash这款洗发水它的味道挺好闻，有一些蓬松度，但同样的问题蓬松程度并不是非常好，而且他还是挺贵的，如果头发出油并不是特别严重，并且有预算，对于香味有要求的话，我觉得这款可以试试。
还有其他几瓶洗发水下篇再分享，后面几张是我卷发或直发的照片，已经尽量不让头发贴头皮了[笑哭R]#油头救星[话题]# #洗发水分享[话题]# #控油蓬松[话题]# #细软塌蓬松的秘密[话题]# #贴头皮救星[话题]#",https://www.xiaohongshu.com/explore/682c3eb90000000020028492?xsec_token=ABuz3To18Td8QFOoI5NC_SnTCtVchxVHPJXoKEkPivKjk=&xsec_source=pc_search,54df25b9e779893335f9a830,锅盔妈妈,2025-05-21T16:55:14+00:00,49.0,23.0,12.0,2.0,正向,"蓬松度好, 头发会干, 容易打结",2025-06-07T20:07:59.707381+00:00
livingproof,Living Proof,14,681bc7dd000000000303a428,normal,🇨🇦真诚发问：没有人认识这个牌子吗？,"真的没有人在Sephora见过它吗🤨
客人问我这是什么牌子这么贵
我在思考🤔
这个牌子在Sephora应该很火的亚子才对吧
原价超级贵诶
难道我们又进了只有我们自己觉得不错的东西吗🙂
	
#GenCBeauty[话题]# #密西沙加生活[话题]# #多伦多生活[话题]# #加拿大最低价[话题]# #护发[话题]# #livingproof[话题]#  #觉得很好用[话题]# #全天然成分[话题]# #小众控的好品[话题]# #不是广不是广[话题]# #不允许你不知道[话题]# #闭眼入[话题]# #发现新事物[话题]# #出乎意料的发现[话题]#",https://www.xiaohongshu.com/explore/681bc7dd000000000303a428?xsec_token=ABaa5JWtP2GNnc5EgcHQSU0PrGv-_mVjSiwZ-oxMzrkf0=&xsec_source=pc_search,64b74373000000001403d5d3,小跟班和她不死心的老板,2025-05-08T04:51:42+00:00,24.0,11.0,57.0,1.0,正向,很好用,2025-05-30T00:30:57.829682+00:00
livingproof,Living Proof,15,67e4c276000000001d02df79,normal,打工人洗头排期&进阶版,"hi girl I'm good！
作为被时间追赶的都市职场女性，你是否也困在“两天一洗头”的循环中？明明渴望多睡半小时，却因油塌的刘海被迫早起洗头？别急！这份全网热议的「打工人洗头排期表」专为高效女性设计，帮你科学延长洗头间隔，7天发丝轻盈不狼狈，省时省力还能养发！
一、核心排期表：精准规划洗头节奏
✨适用人群：原洗头频率为2天/次的油性/混合性发质女性
⏰科学原理：顺应头皮油脂分泌周期，通过护理手段延缓出油速度，逐步调整头皮环境。
	
图见[向右R]萍伦趣
	
✅效果：从每周3.5次洗头→2.5次，省下30分钟，多睡美容觉！
二、配套护理技巧：延长清爽的秘诀
1️⃣洗发水“分区管理”
🔥深层清洁日（周一）：选择含水杨酸、无硅油的控油洗发水，搭配头皮磨砂膏按摩3分钟，清除毛囊堆积油脂。
🔥温和清洁日（周三）：切换氨基酸表活洗发水（如科颜氏椰香/卡诗绿瓶），避免过度清洁导致头皮敏感。
2️⃣吹发心机：低温+逆吹发根
🔥吹风机调至中低温档，先逆发流吹干发根（如左分者先向右吹），蓬松感立增，视觉延缓油塌。
3️⃣免洗急救神器
🔥8:00晨间油头：用蓬蓬粉轻拍发根，或蜜粉饼按压刘海，吸油不泛白。
🔥18:00约会急救：局部喷洒控油干发喷雾（推荐Living Proof或Batiste），手指梳理后瞬间恢复清爽。
三、不同发质适配方案
1.细软油性发质：排期表基础上，避免使用护发素接触头皮，发尾可用免洗护发乳。
2.染烫受损发质：周五改用护色/修护洗发水，周末用发膜代替护发素密集滋养。
3.敏感头皮：周三清洁日可替换为燕麦胶束水洗发水（如Aveeno），舒缓止痒。
四、避坑指南：这些习惯加速出油！
❌ 指甲抓挠头皮 → ✅ 指腹按摩
❌ 护发素涂抹发根 → ✅ 只涂发尾
❌ 高温水洗头 → ✅ 38℃温水最佳
🌟攻略彩蛋：坚持排期表3周后，头皮油脂分泌会逐渐趋于平衡，可尝试过渡至“3天1洗”进阶模式！
职场女性的精致，从“头”开始。与其被洗头日程绑架，不如用科学攻略夺回时间主权！💼🚿✨
#洗头排期[话题]# #从头开始精致省[话题]# #健康美从头发开始[话题]##洗头计划[话题]# #保护头发工程[话题]#  #懒人养发[话题]#",https://www.xiaohongshu.com/explore/67e4c276000000001d02df79?xsec_token=ABx18BpA-CmMVifndv_72v01osW7CxbstLBuYsnVjJnyk=&xsec_source=pc_search,67d27f17000000000601d104,旧颜爱省钱,2025-03-27T11:18:15+00:00,10.0,2.0,3.0,1.0,正向,"控油, 清爽",2025-06-07T20:43:39.601977+00:00
livingproof,Living Proof,16,6728a914000000001b010a70,normal,洗发水吐槽,"living proof洗发水，属于老网红了吧。我觉得好难用啊，即时效果干，但是又不持久控油，起泡少，每次用都挤很多……
#洗护[话题]# #",https://www.xiaohongshu.com/explore/6728a914000000001b010a70?xsec_token=ABVfWrpBePFYEQ1Pq6Tz3fZfnQib15lchBTOJdXhB-wgY=&xsec_source=pc_search,5a4dce1d4eacab494e03701e,YeShhhhyyy,2024-11-04T18:59:32+00:00,2.0,0.0,5.0,0.0,负向,"难用, 不持久控油, 起泡少",2025-05-30T00:30:57.829682+00:00
livingproof,Living Proof,17,6840580200000000230174b3,normal,Living proof洗发水护发素,"从朋友那里顺拐的两罐过来用，[doge]听说好用哈哈啊哈哈哈，一眼没看到中文，害姐在那里猜conditioner 是什么🤔
把姐的老油头照顾的挺好的，[害羞R]敏感脂溢性皮炎头皮没有异样！！把姐男人头发洗的挺蓬松，他烫过了，用了护发素洗完根根分明！[赞R]
你们说，下次要不要再去顺点？[色色R]#living[话题]# proof，#护发好物[话题]# #洗发水分享[话题]#",https://www.xiaohongshu.com/explore/6840580200000000230174b3?xsec_token=ABrDrYMv9Ymt6s2Gc39V3sw2J7YTK5xfHpU7tV4gFgROM=&xsec_source=pc_search,5caf3ec8000000001701b55b,啊哈soga,2025-06-04T22:28:18+00:00,6.0,2.0,1.0,1.0,正向,"好用, 照顾的挺好的, 没有异样, 洗的挺蓬松, 根根分明",2025-06-07T20:43:39.601977+00:00
livingproof,Living Proof,18,6837ec07000000000303a2fd,normal,618手慢无！我发誓这个💰真的香！,"真的是爆品‼️
销量巨高的缕灵丰盈蓬松洗发水
原价255，现在正装只到零头！
全网夸爆的进口黑科技控油
洗发更养发！
点开记得领🧧哦
还有710ml家庭装 买多省多
我要告诉全世界🔥
#洗护好物[话题]# #洗发水推荐[话题]# #livingproof洗发水[话题]# #清仓捡漏[话题]# #618攻略[话题]# #缕灵丰盈蓬松洗发水[话题]# #Livingproof缕灵洗发水[话题]# #洗发水去屑止痒控油蓬松[话题]# #油头洗发水[话题]#",https://www.xiaohongshu.com/explore/6837ec07000000000303a2fd?xsec_token=AB9UKqqLPYkvnP8AbAvg0sm0E4DXj9g2v8M-hWmXB2AOw=&xsec_source=pc_search,62e8b5ab000000001501ae8e,小甜蜜丸子,2025-05-29T13:09:27+00:00,1.0,0.0,1.0,0.0,正向,"爆品, 销量巨高, 进口黑科技, 控油, 洗发更养发",2025-06-07T20:43:39.601977+00:00
livingproof,Living Proof,19,68064f93000000001d0178ad,video,捡漏❗花点小💰get高颅顶小心机～,"现在真的是骨折底裤💰！🈚更低！
还是保税仓直发[购物车R]正品保障[棒R]
细软塌姐妹必备❗
#细软塌洗发水推荐[话题]# #洗发水蓬松去油[话题]# #livingproof洗发水[话题]# #缕灵丰盈蓬松洗发水[话题]# #livingproof缕灵[话题]# #洗发水去屑止痒控油蓬松[话题]# #蓬蓬肽增粗发芯[话题]# #蓬松自然到无懈可击[话题]# #夏季洗发水推荐控油蓬松[话题]#",https://www.xiaohongshu.com/explore/68064f93000000001d0178ad?xsec_token=ABuQxYeULrUdar-hc5emIRVI1RNRz9P5EJn5l9Wk45bjI=&xsec_source=pc_search,62790ce6000000001501745f,bellaaaa,2025-04-24T14:34:18+00:00,2.0,0.0,0.0,1.0,正向,"好用, 黑科技, 封神",2025-06-07T20:07:59.707381+00:00
livingproof,Living Proof,20,6841018d0000000021001ba0,normal,细软塌的救星驾到！,"是谁！还在为细软塌发质流泪到天明？🙋‍♀️
油得快、塌得早、毫无蓬松感...说的就是我本人了！每次洗头不到一天头顶扁塌得像被熨斗熨过，发根油腻腻地贴在头皮上...真的栓Q！😭
直到！被我的富婆闺蜜按头安利了LivingProof 丰盈蓬松洗发水!半信半疑试了一次... 真香警告！⚠️
✨ 用完第一次就惊了！
洗完吹干那一刻，整个头顶是那种自然的、空气感的蓬松,不是炸毛！手感超好，发丝又软又滑。第二天睡醒发现头顶依然很蓬松，持久度也很不错。
它这个泡沫超绵密，洗得干净但完全不涩！搭配它家的护发素（强推！），发尾也润润的，不会炸毛！
📌 细软塌姐妹必看Tips：
1️⃣ 重点洗头皮！发尾带过就好。
2️⃣ 吹头发时低头倒吹发根!冷热风交替定型，蓬松度翻倍！
3️⃣ 预算够的，一定要入同系列护发素/发膜，蓬松不炸毛的秘诀！
💰 价格小贵但值得！
讲真，一瓶是不便宜，但想想省下的洗头次数、出门前的造型时间，还有终于不用羡慕别人的高颅顶... 这钱花得值！算下来性价比超高！投资自己，从头开始！👑#细软发质[话题]# #洗发[话题]# #控油蓬松[话题]#",https://www.xiaohongshu.com/explore/6841018d0000000021001ba0?xsec_token=ABM16catNEKsZW9cw3Qx9EEA0oQPkzMrlOVsJE3zRumIg=&xsec_source=pc_search,6093d2280000000001000dc8,鱼丸醋面,2025-06-05T10:33:57+00:00,1.0,0.0,0.0,2.0,正向,"强推, 发尾也润润的, 不会炸毛",2025-06-07T20:07:59.707381+00:00
livingproof,Living Proof,21,680798e60000000007034903,video,沃去‼️原本500+被我砍到这个数💰！！,"再难啃的品牌方也被我啃下来了❗️
都是正装囤货装 超大容量[购物车R]
专研蓬蓬肽科技 对付细软塌很有一手！
不是日常💰买不起，而是清仓更有性价比～
任何人错过这波我都会心痛的[凋谢R]
#进口洗发水[话题]# #洗发水清仓捡漏[话题]# #livingproof洗发水[话题]# #缕灵洗发水[话题]# #缕灵丰盈蓬松洗发水[话题]# #缕灵每日圆满洗发水[话题]# #livingproof蓬松洗护[话题]# #livingproof缕灵[话题]# #洗发水控油蓬松[话题]# #细软塌洗发水推荐[话题]#",https://www.xiaohongshu.com/explore/680798e60000000007034903?xsec_token=ABFTG5H1cUjUFYqVgvNnc7ExfsIJyCWTeDhW9IEn1kFYU=&xsec_source=pc_search,62e8b5ab000000001501ae8e,小甜蜜丸子,2025-04-22T21:25:59+00:00,2.0,1.0,1.0,0.0,正向,"对付细软塌很有一手, 性价比高",2025-06-07T20:07:59.707381+00:00
livingproof,Living Proof,22,6732f362000000003c01507e,normal,重生之我成蒲公英,"用过很多种洗发水，有好点也有差点意思的，但只有它！疯狂掉头发！
第一次用有些掉多了，后面越来越多。我都没反应过来是洗发水的问题，想着是不是什么换季或者别的原因，本来也属于掉发多的。直到新一年双十一来了，这瓶还剩三分之一，想着可以做做攻略买个新的一块凑囤货了。我才知道网上这么多人一样的情况！
我还抱着不太夸张的区别，就把剩余的用完想法，新洗发水一到，试第一次就感觉明显掉发少了一些，这……那我严谨点，再用两次再决定？
嗯，是它无疑了。我说这半年头上天天跟炸毛海胆一样，总有新头发乱飞💢[生气R]干得漂亮，剩下的三分之一已经去垃圾桶了！不要买不要买不要买！不想每次洗头两大把掉头发，就不要买！
	
#Livingpoof[话题]#
#洗发水推荐[话题]#
#掉发严重[话题]#",https://www.xiaohongshu.com/explore/6732f362000000003c01507e?xsec_token=AB4fmUQgfjLj9ydabExVeaaLU5-bXf6dOK_ihYWWFe7LU=&xsec_source=pc_search,54530c8fd6e4a9637867f516,happy1-1,2024-11-12T14:19:15+00:00,3.0,0.0,0.0,1.0,负向,"疯狂掉头发, 干得漂亮",2025-06-07T20:43:39.601977+00:00
